pair,date,open,high,low,close,day_of_week,month,week_of_year,is_month_end,is_month_start,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,return_3d,return_5d,return_10d,rolling_std_5,rolling_std_10,rolling_std_20,rsi_14,atr_14,momentum_5d,momentum_10d,dist_from_mean_20d,daily_range,candle_body,upper_wick,lower_wick,high_impact_count,medium_impact_count,low_impact_count,max_z_score,sum_signal,dominant_direction,max_surprise_z,sum_signal_surprise,label
0,2021-01-21,1.21057,1.21732,1.2101,1.21595,3,1,3,0,0,68,5,0.5575885739775506,-0.0388246858917675,0.4444187448887848,0.0070396289701437,0.0006583549356047,-0.0089087767344808,0.4640389412877728,0.4407326962695972,0.4006920082517723,62.56863934021208,0.0050686961380555,0.0008000000000001,-0.0109299999999998,-0.0023806666666665,0.00722,0.0053800000000001,0.0013699999999998,0.0004699999999999,0.0,3.0,3.0,0.9662600570844502,-0.4582741514702458,0.012983483053301,0.934619191812862,-0.1529367396725726,3.0
0,2021-01-22,1.21593,1.21896,1.215,1.21702,4,1,3,0,0,30,9,0.249191976511813,-0.0764846660580687,0.0896433182831277,0.0034795514511871,0.0078924049060447,-0.0021972616217103,0.2930574205793608,0.4096367597804431,0.3889732574037771,63.34604322367,0.0049895035567658,0.00953,-0.00268,-0.0012287499999998,0.0039599999999999,0.00109,0.00194,0.0009299999999998,3.0,4.0,4.0,1.3349596268071389,-2.016035205324409,0.0667030742337734,1.276915861770132,-2.985538749616503,2.0
0,2021-01-25,1.21672,1.21833,1.2114,1.21385,0,1,4,0,0,16,53,0.1323229666644658,-0.437241107239134,-0.2358800710105799,0.0028171573973101,0.0053004265186966,-0.000905387052965,0.330970985576521,0.3784885799420532,0.3792206694707468,59.40939686333804,0.0051281104455682,0.0064000000000001,-0.0010999999999998,-0.0041399999999998,0.0069299999999998,0.0028699999999999,0.0016099999999998,0.00245,0.0,0.0,2.0,1.1197666203071588,-1.091377027433963,-0.5456885137169815,1.1197666203071588,-1.091377027433963,4.0
0,2021-01-26,1.21368,1.2176,1.2106,1.21593,1,1,4,0,0,39,31,0.3229846417507022,-0.2537736470898584,0.1853865928415944,-1.6448044738770484e-05,0.0025808047493403,-0.0037606921639957,0.2821284270304564,0.3504248284444706,0.3725601995460512,61.11688131232702,0.0052618168423134,0.0031299999999998,-0.00459,-0.0019455555555556,0.0070000000000001,0.0022499999999998,0.00167,0.0030800000000001,0.0,1.0,3.0,0.4136058067383446,0.5588136598462351,0.0363019632769726,0.4136058067383446,0.5588136598462351,1.0
0,2021-01-27,1.21599,1.21698,1.2057,1.21075,2,1,4,0,0,10,103,0.0814151432166421,-0.8462240643426271,-0.4309245964193712,-0.0051519284810438,0.0002561052179372,-0.0040307654341298,0.3466602342060251,0.3536973692719241,0.3724585639616065,54.920772988388045,0.0056916870678624,0.00031,-0.0048999999999999,-0.0067505263157894,0.0112799999999999,0.0052399999999999,0.00099,0.0050499999999999,0.0,0.0,5.0,1.5205229520244814,-2.160865161834132,-0.4321730323668264,1.5205229520244814,-2.160865161834132,3.0
0,2021-01-28,1.21073,1.21424,1.2079,1.21201,3,1,4,0,0,35,28,0.2899077416104252,-0.2337432788483072,0.1057213416698973,-0.0015158380360011,-0.0032402648135203,-0.0025840431222482,0.2638897591310411,0.3569467395532808,0.3646497712655077,56.08698246671298,0.0057379951344437,-0.00394,-0.0031399999999999,-0.0052159999999998,0.00634,0.0012799999999999,0.0022299999999999,0.0028300000000001,1.0,4.0,7.0,0.9867690763650252,-5.808049708600606,-0.1555902355490362,0.9867690763650252,-5.816488540785904,4.0
0,2021-01-29,1.212,1.2156,1.2092,1.21362,4,1,4,0,0,36,28,0.2970297029703009,-0.2310231023102239,0.1336633663366299,-0.001899780414991,-0.0027937092241705,0.0050766465974874,0.2706614453434887,0.2844595451525615,0.3671189314560706,57.5965122967547,0.0057852811962691,-0.0034,0.0061299999999999,-0.0032179999999999,0.0063999999999999,0.0016199999999999,0.00198,0.0027999999999999,0.0,1.0,16.0,5.930558812388615,6.283409154338812,0.3898297027959523,5.930558812388615,6.283409154338812,0.0
0,2021-02-01,1.21285,1.21365,1.2053,1.2059,0,2,5,0,1,8,75,0.0659603413447592,-0.622500721441229,-0.5730304654326596,-0.0040057815403675,-0.0065494089055485,-0.0012836970474967,0.3572045081957182,0.34556710379843,0.3836515243895415,48.913791192508405,0.0059684753965356,-0.0079500000000001,-0.0015499999999999,-0.0100025000000001,0.0083499999999998,0.00695,0.0007999999999999,0.0005999999999999,1.0,0.0,11.0,2.548604003564708,-3.9265290226863336,-0.1409260960003674,2.548604003564708,-3.1431867818337613,2.0
0,2021-02-02,1.2059,1.20878,1.201,1.2042,1,2,5,0,0,29,49,0.2388257732813661,-0.4063355170412061,-0.1409735467285873,-0.0064438412224322,-0.0096469369124867,-0.0070910290237468,0.3158221055443794,0.3089881438830956,0.3663849166416036,47.22548055903571,0.0060978700110688,-0.01173,-0.0086000000000001,-0.0104339999999998,0.0077799999999998,0.0017,0.0028799999999999,0.0031999999999998,0.0,0.0,6.0,0.7116132564095929,-0.4319500786470153,-0.0719916797745025,0.7116132564095929,-0.4319500786470153,3.0
0,2021-02-03,1.20432,1.20502,1.2002,1.20348,2,2,5,0,0,7,41,0.0581240866214895,-0.3421017669722435,-0.0697489039457911,-0.0083551688337368,-0.00600454263886,-0.0057499752156239,0.2841117355811167,0.3053619967255106,0.3576850849804892,46.49352989517548,0.0060065935817067,-0.0072699999999998,-0.0069599999999998,-0.0097069999999999,0.00482,0.0008399999999999,0.0006999999999999,0.0032800000000001,0.0,3.0,11.0,7.571220094306466,23.85244879038176,1.526457022025607,7.571220094306466,24.284304647888668,0.0
