timestamp,open,high,low,close
2021-01-01,1.2215,1.2215,1.22138,1.22138
2021-01-04,1.22386,1.23098,1.2229,1.22461
2021-01-05,1.22469,1.23057,1.22428,1.22957
2021-01-06,1.2296,1.23495,1.2264,1.23242
2021-01-07,1.2325,1.23445,1.2243,1.22688
2021-01-08,1.22705,1.22848,1.2193,1.2197
2021-01-11,1.2216,1.22284,1.2131,1.21495
2021-01-12,1.21505,1.22097,1.2135,1.22052
2021-01-13,1.22057,1.22229,1.2138,1.21565
2021-01-14,1.21566,1.21788,1.211,1.21515
2021-01-15,1.2154,1.21625,1.2072,1.20749
2021-01-18,1.20823,1.20869,1.2052,1.20745
2021-01-19,1.20744,1.2145,1.2072,1.2128
2021-01-20,1.21284,1.21582,1.2075,1.21044
2021-01-21,1.21057,1.21732,1.2101,1.21595
2021-01-22,1.21593,1.21896,1.215,1.21702
2021-01-25,1.21672,1.21833,1.2114,1.21385
2021-01-26,1.21368,1.2176,1.2106,1.21593
2021-01-27,1.21599,1.21698,1.2057,1.21075
2021-01-28,1.21073,1.21424,1.2079,1.21201
2021-01-29,1.212,1.2156,1.2092,1.21362
2021-02-01,1.21285,1.21365,1.2053,1.2059
2021-02-02,1.2059,1.20878,1.201,1.2042
2021-02-03,1.20432,1.20502,1.2002,1.20348
2021-02-04,1.20351,1.2043,1.1956,1.1962
2021-02-05,1.19618,1.205,1.1951,1.2043
2021-02-08,1.20375,1.2066,1.2018,1.20458
2021-02-09,1.20478,1.2122,1.2043,1.2117
2021-02-10,1.21168,1.21441,1.2107,1.21176
2021-02-11,1.21171,1.21495,1.2111,1.21295
2021-02-12,1.21279,1.2135,1.208,1.21177
2021-02-15,1.21239,1.21452,1.2115,1.21268
2021-02-16,1.21274,1.21695,1.2093,1.21061
2021-02-17,1.21058,1.2109,1.2021,1.20372
2021-02-18,1.2036,1.20946,1.2034,1.20891
2021-02-19,1.20888,1.21445,1.208,1.21167
2021-02-22,1.21148,1.21695,1.2089,1.21551
2021-02-23,1.21526,1.21801,1.2133,1.21486
2021-02-24,1.21496,1.21747,1.2107,1.21664
2021-02-25,1.21641,1.22432,1.2154,1.2174
2021-02-26,1.21718,1.21841,1.206,1.20704
2021-03-01,1.20718,1.21012,1.2026,1.20492
2021-03-02,1.20484,1.20945,1.199,1.209
2021-03-03,1.20893,1.21133,1.2041,1.20634
2021-03-04,1.20624,1.20666,1.196,1.19688
2021-03-05,1.19679,1.19777,1.1892,1.19079
2021-03-08,1.1917,1.19324,1.1842,1.1846
2021-03-09,1.18462,1.19158,1.1834,1.18995
2021-03-10,1.18992,1.193,1.1867,1.19287
2021-03-11,1.19287,1.199,1.1914,1.19839
2021-03-12,1.19846,1.19885,1.1908,1.19516
2021-03-15,1.19489,1.19675,1.1916,1.1927
2021-03-16,1.19276,1.19519,1.1881,1.19008
2021-03-17,1.19011,1.19857,1.1884,1.198
2021-03-18,1.19796,1.19889,1.1904,1.19124
2021-03-19,1.19118,1.19372,1.1872,1.1904
2021-03-22,1.18798,1.1947,1.1873,1.19325
2021-03-23,1.19344,1.19409,1.184,1.1849
2021-03-24,1.18486,1.1852,1.1808,1.18117
2021-03-25,1.18123,1.18278,1.176,1.1768
2021-03-26,1.17676,1.18053,1.1766,1.17928
2021-03-29,1.1789,1.17939,1.1759,1.17656
2021-03-30,1.17661,1.1774,1.171,1.17179
2021-03-31,1.17162,1.17598,1.1702,1.17266
2021-04-01,1.1726,1.178,1.1711,1.1774
2021-04-02,1.17737,1.17867,1.1747,1.1761
2021-04-05,1.1754,1.18195,1.1736,1.18123
2021-04-06,1.18134,1.18776,1.1794,1.187
2021-04-07,1.18706,1.19148,1.1859,1.1868
