timestamp,open,high,low,close
2026-06-02,1.3451,1.3481,1.3443,1.3465
2026-06-01,1.3458,1.3476,1.3404,1.3451
2026-05-29,1.3442,1.3485,1.3405,1.3459
2026-05-28,1.3426,1.345,1.3364,1.3443
2026-05-27,1.3443,1.3459,1.3413,1.3427
2026-05-26,1.3501,1.3506,1.3431,1.3445
2026-05-25,1.3441,1.3509,1.344,1.3501
2026-05-22,1.3429,1.3463,1.3411,1.3427
2026-05-21,1.3432,1.3454,1.3388,1.3429
2026-05-20,1.3393,1.3462,1.3372,1.3431
2026-05-19,1.3432,1.3437,1.3375,1.3393
2026-05-18,1.3315,1.3449,1.33,1.3433
2026-05-15,1.3403,1.3408,1.3312,1.3321
2026-05-14,1.352,1.3532,1.3392,1.3399
2026-05-13,1.3539,1.3551,1.3482,1.3522
2026-05-12,1.3613,1.3615,1.3498,1.3536
2026-05-11,1.3609,1.3653,1.3559,1.3607
2026-05-08,1.3547,1.3636,1.3541,1.3632
2026-05-07,1.3585,1.3632,1.3545,1.3551
2026-05-06,1.3535,1.3643,1.353,1.3591
2026-05-05,1.3533,1.3578,1.351,1.3539
2026-05-04,1.3574,1.3602,1.3509,1.3531
2026-05-01,1.36,1.3658,1.3565,1.3572
2026-04-30,1.3472,1.3612,1.3451,1.36
2026-04-29,1.3514,1.3528,1.3455,1.3473
2026-04-28,1.3534,1.3541,1.346,1.3516
2026-04-27,1.3499,1.3576,1.3499,1.353
2026-04-24,1.3464,1.3537,1.345,1.3531
2026-04-23,1.35,1.3518,1.3444,1.3467
2026-04-22,1.3502,1.3535,1.3489,1.3501
2026-04-21,1.3531,1.3539,1.3472,1.3506
2026-04-20,1.3509,1.3544,1.3471,1.3532
2026-04-17,1.3527,1.3599,1.3501,1.3514
2026-04-16,1.3566,1.3594,1.3513,1.3524
2026-04-15,1.3573,1.3579,1.354,1.3558
2026-04-14,1.3499,1.3589,1.3488,1.3564
2026-04-13,1.3389,1.3508,1.3377,1.3504
2026-04-10,1.3433,1.3479,1.3407,1.3458
2026-04-09,1.34,1.3458,1.3378,1.3433
2026-04-08,1.329,1.3484,1.3279,1.3392
2026-04-07,1.3232,1.33,1.3208,1.329
2026-04-06,1.3182,1.3268,1.3173,1.3232
2026-04-03,1.3226,1.3242,1.3185,1.3189
2026-04-02,1.3301,1.332,1.3178,1.3223
2026-04-01,1.3226,1.3346,1.3217,1.3304
2026-03-31,1.3185,1.3264,1.3156,1.3222
2026-03-30,1.3262,1.3282,1.317,1.3185
2026-03-27,1.3326,1.3347,1.3255,1.3256
2026-03-26,1.3363,1.3377,1.3307,1.3329
2026-03-25,1.341,1.3435,1.3355,1.3363
2026-03-24,1.3435,1.3445,1.3349,1.3409
2026-03-23,1.3302,1.3479,1.3254,1.3428
2026-03-20,1.3429,1.3442,1.3295,1.3339
2026-03-19,1.3256,1.3466,1.3243,1.343
2026-03-18,1.3354,1.3374,1.3249,1.3254
2026-03-17,1.3318,1.3364,1.327,1.3354
2026-03-16,1.3228,1.3339,1.3217,1.3316
2026-03-13,1.3341,1.3369,1.3215,1.3222
