timestamp,open,high,low,close
2026-06-02,159.65,159.98,159.55,159.89
2026-06-01,159.3,159.76,159.21,159.65
2026-05-29,159.21,159.37,159.08,159.26
2026-05-28,159.51,159.65,159.11,159.23
2026-05-27,159.28,159.58,159.16,159.51
2026-05-26,158.89,159.38,158.81,159.29
2026-05-25,158.9,159.04,158.74,158.89
2026-05-22,158.95,159.23,158.87,159.19
2026-05-21,158.88,159.34,158.77,158.96
2026-05-20,159.05,159.16,158.57,158.91
2026-05-19,158.79,159.25,158.7,159.04
2026-05-18,158.51,159.08,158.5,158.83
2026-05-15,158.36,158.84,158.27,158.76
2026-05-14,157.83,158.42,157.4,158.35
2026-05-13,157.59,157.92,157.51,157.85
2026-05-12,157.15,157.76,157.04,157.61
2026-05-11,156.39,157.27,156.39,157.16
2026-05-08,156.89,156.99,156.42,156.65
2026-05-07,156.38,156.95,156.0,156.91
2026-05-06,157.86,157.93,155.02,156.39
2026-05-05,157.21,157.92,157.07,157.87
2026-05-04,156.77,157.3,155.87,157.22
2026-05-01,156.57,157.32,155.51,157.03
2026-04-30,160.39,160.72,155.54,156.57
2026-04-29,159.58,160.47,159.49,160.39
2026-04-28,159.41,159.78,158.93,159.61
2026-04-27,159.6,159.63,159.08,159.42
2026-04-24,159.6,159.84,159.29,159.37
2026-04-23,159.49,159.84,159.28,159.71
2026-04-22,159.36,159.57,159.08,159.48
2026-04-21,158.76,159.64,158.66,159.37
2026-04-20,158.59,159.2,158.54,158.79
2026-04-17,159.12,159.52,157.57,158.61
2026-04-16,159.0,159.3,158.25,159.18
2026-04-15,158.8,159.15,158.63,158.96
2026-04-14,159.44,159.46,158.59,158.77
2026-04-13,159.43,159.86,159.27,159.44
2026-04-10,158.95,159.37,158.9,159.29
2026-04-09,158.55,159.29,158.43,158.94
2026-04-08,159.52,159.61,157.86,158.58
2026-04-07,159.67,160.03,159.45,159.61
2026-04-06,159.49,159.82,159.28,159.68
2026-04-03,159.62,159.71,159.41,159.56
2026-04-02,158.78,159.74,158.52,159.59
2026-04-01,158.7,159.01,158.25,158.78
2026-03-31,159.73,159.97,158.64,158.71
2026-03-30,159.89,160.46,159.3,159.72
2026-03-27,159.66,160.41,159.43,160.31
2026-03-26,159.47,159.84,159.26,159.8
2026-03-25,158.69,159.5,158.55,159.46
2026-03-24,158.41,159.18,158.25,158.68
2026-03-23,159.22,159.65,158.02,158.43
2026-03-20,157.7,159.38,157.58,159.22
2026-03-19,159.85,159.86,157.49,157.72
2026-03-18,159.03,159.9,158.55,159.86
2026-03-17,159.09,159.49,158.7,158.98
2026-03-16,159.57,159.74,158.83,159.06
2026-03-13,159.33,159.74,158.98,159.71
