timestamp,open,high,low,close
2021-01-01,1.3663,1.3674,1.3663,1.3671
2021-01-04,1.36555,1.37039,1.3539,1.35664
2021-01-05,1.35698,1.36423,1.3552,1.36255
2021-01-06,1.36257,1.36715,1.3537,1.36051
2021-01-07,1.36075,1.36331,1.3531,1.35611
2021-01-08,1.35627,1.36359,1.3537,1.3547
2021-01-11,1.35655,1.35716,1.345,1.35133
2021-01-12,1.3515,1.36702,1.3503,1.36604
2021-01-13,1.36616,1.37009,1.361,1.3637
2021-01-14,1.36365,1.3711,1.3615,1.36859
2021-01-15,1.36845,1.36979,1.357,1.35796
2021-01-18,1.35948,1.36015,1.3518,1.35847
2021-01-19,1.35846,1.36365,1.357,1.36271
2021-01-20,1.36289,1.3719,1.3622,1.36517
2021-01-21,1.36521,1.37459,1.36458,1.37302
2021-01-22,1.37297,1.37359,1.3634,1.3682
2021-01-25,1.36815,1.37237,1.3646,1.36747
2021-01-26,1.36738,1.37445,1.3608,1.37359
2021-01-27,1.37333,1.37589,1.36579,1.36836
2021-01-28,1.36846,1.3746,1.3628,1.372
2021-01-29,1.37166,1.37513,1.3655,1.36992
2021-02-01,1.37045,1.37578,1.3654,1.36583
2021-02-02,1.36578,1.37103,1.361,1.3665
2021-02-03,1.36669,1.36833,1.3617,1.3644
2021-02-04,1.36458,1.3698,1.3562,1.367
2021-02-05,1.36698,1.374,1.36579,1.3732
2021-02-08,1.37146,1.37494,1.36798,1.37402
2021-02-09,1.3739,1.38203,1.37324,1.38154
2021-02-10,1.38156,1.38663,1.3801,1.3833
2021-02-11,1.38302,1.38593,1.3799,1.38162
2021-02-12,1.38148,1.38623,1.3773,1.38474
2021-02-15,1.3851,1.39193,1.38459,1.3903
2021-02-16,1.38988,1.39516,1.3868,1.39023
2021-02-17,1.39023,1.3908,1.3828,1.3857
2021-02-18,1.3859,1.3986,1.3838,1.3974
2021-02-19,1.39705,1.40361,1.3949,1.4008
2021-02-22,1.40143,1.40865,1.3979,1.40638
2021-02-23,1.40639,1.41169,1.4052,1.41126
2021-02-24,1.41119,1.4242,1.408,1.41421
2021-02-25,1.41384,1.4182,1.3998,1.4013
2021-02-26,1.40116,1.40263,1.3886,1.39306
2021-03-01,1.39335,1.39991,1.3902,1.39247
2021-03-02,1.3923,1.3977,1.3857,1.39517
2021-03-03,1.39511,1.40062,1.3919,1.39515
2021-03-04,1.39478,1.40174,1.3878,1.3894
2021-03-05,1.38939,1.39066,1.3776,1.38358
2021-03-08,1.38116,1.38657,1.3798,1.38195
2021-03-09,1.38183,1.39256,1.38,1.38866
2021-03-10,1.38872,1.3938,1.3844,1.39332
2021-03-11,1.39331,1.39958,1.39141,1.39875
2021-03-12,1.3989,1.40049,1.3862,1.39172
2021-03-15,1.3918,1.39495,1.3894,1.3927
2021-03-16,1.38983,1.39062,1.3807,1.3893
2021-03-17,1.38941,1.39709,1.3849,1.3958
2021-03-18,1.39567,1.40014,1.3896,1.3927
2021-03-19,1.39254,1.39592,1.3829,1.38677
2021-03-22,1.38361,1.38768,1.3815,1.38591
2021-03-23,1.38587,1.38644,1.3739,1.37484
2021-03-24,1.3749,1.37573,1.3672,1.3688
2021-03-25,1.36855,1.37455,1.3668,1.37376
2021-03-26,1.37358,1.38124,1.37302,1.3786
2021-03-29,1.37876,1.38469,1.3754,1.37592
2021-03-30,1.37617,1.37833,1.3705,1.37342
2021-03-31,1.37343,1.38119,1.3715,1.37761
2021-04-01,1.37795,1.38365,1.3744,1.383
2021-04-02,1.38289,1.38523,1.38096,1.3829
2021-04-05,1.38214,1.39135,1.3811,1.39071
2021-04-06,1.39043,1.39187,1.38,1.38224
2021-04-07,1.38203,1.384,1.3722,1.3737
2021-04-08,1.37358,1.37825,1.3717,1.3733
2021-04-09,1.37315,1.37507,1.3669,1.3706
2021-04-12,1.37015,1.37767,1.3667,1.37377
2021-04-13,1.37409,1.37688,1.3693,1.37498
2021-04-14,1.37505,1.38086,1.3746,1.3778
2021-04-15,1.37776,1.38088,1.376,1.37832
