pair,date,open,high,low,close,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,rolling_std,label,high_impact_count,medium_impact_count,low_impact_count,max_z_score,sum_signal,dominant_direction,max_surprise_z,sum_signal_surprise
EURUSD,2021-01-14,1.21566,1.21788,1.211,1.21515,22,47,0.1826168501061243,-0.3833308655380523,-0.0419525196189732,0.388941925788783,0.0,0.0,0.0,4.0,3.494068354465408,5.464855570782023,1.3662138926955059,3.494068354465408,5.464855570782023
EURUSD,2021-01-15,1.2154,1.21625,1.2072,1.20749,9,82,0.069935823597171,-0.6746750041138707,-0.6508145466513151,0.405694746844773,3.0,2.0,0.0,11.0,2.0784408970518,4.670948983447849,0.3417554830316792,2.0784408970518,4.172072848600288
EURUSD,2021-01-18,1.20823,1.20869,1.2052,1.20745,5,30,0.0380722213485948,-0.250780066709142,-0.0645572448954257,0.3874659393994762,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURUSD,2021-01-19,1.20744,1.2145,1.2072,1.2128,71,2,0.5847081428476648,-0.019876764062812,0.443914397402772,0.4043213350852479,2.0,0.0,0.0,5.0,0.1259841577967344,-0.305904731312109,-0.0611809462624218,0.1295105005834081,-0.3402845000442135
EURUSD,2021-01-20,1.21284,1.21582,1.2075,1.21044,30,53,0.245704297351669,-0.4402889086771462,-0.1978826555852345,0.3895031406779926,5.0,0.0,0.0,6.0,1.4318936040086792,-0.03854844794389173,-0.006424741323981954,1.4318936040086792,-0.03854844794389173
EURUSD,2021-01-21,1.21057,1.21732,1.2101,1.21595,68,5,0.5575885739775506,-0.0388246858917675,0.4444187448887848,0.4006920082517723,3.0,0.0,3.0,3.0,0.9662600570844502,-0.45827415147024586,0.012983483053301048,0.934619191812862,-0.1529367396725726
EURUSD,2021-01-22,1.21593,1.21896,1.215,1.21702,30,9,0.249191976511813,-0.0764846660580687,0.0896433182831277,0.3889732574037771,2.0,3.0,4.0,4.0,1.3349596268071389,-2.0160352053244095,0.0667030742337734,1.276915861770132,-2.985538749616503
EURUSD,2021-01-25,1.21672,1.21833,1.2114,1.21385,16,53,0.1323229666644658,-0.437241107239134,-0.2358800710105799,0.3792206694707468,4.0,0.0,0.0,2.0,1.1197666203071588,-1.091377027433963,-0.5456885137169815,1.1197666203071588,-1.091377027433963
EURUSD,2021-01-26,1.21368,1.2176,1.2106,1.21593,39,31,0.3229846417507022,-0.2537736470898584,0.1853865928415944,0.3725601995460512,1.0,0.0,1.0,3.0,0.4136058067383446,0.5588136598462351,0.03630196327697263,0.4136058067383446,0.5588136598462351
EURUSD,2021-01-27,1.21599,1.21698,1.2057,1.21075,10,103,0.0814151432166421,-0.8462240643426271,-0.4309245964193712,0.3724585639616065,3.0,0.0,0.0,5.0,1.5205229520244814,-2.160865161834132,-0.4321730323668264,1.5205229520244814,-2.160865161834132
EURUSD,2021-01-28,1.21073,1.21424,1.2079,1.21201,35,28,0.2899077416104252,-0.2337432788483072,0.1057213416698973,0.3646497712655077,4.0,1.0,4.0,7.0,0.9867690763650252,-5.808049708600606,-0.15559023554903625,0.9867690763650252,-5.816488540785904
EURUSD,2021-01-29,1.212,1.2156,1.2092,1.21362,36,28,0.2970297029703009,-0.2310231023102239,0.1336633663366299,0.3671189314560706,0.0,0.0,1.0,16.0,5.930558812388615,6.283409154338812,0.3898297027959523,5.930558812388615,6.283409154338812
EURUSD,2021-02-01,1.21285,1.21365,1.2053,1.2059,8,75,0.0659603413447592,-0.622500721441229,-0.5730304654326596,0.3836515243895415,2.0,1.0,0.0,11.0,2.548604003564708,-3.9265290226863336,-0.14092609600036746,2.548604003564708,-3.1431867818337613
EURUSD,2021-02-02,1.2059,1.20878,1.201,1.2042,29,49,0.2388257732813661,-0.4063355170412061,-0.1409735467285873,0.3663849166416036,3.0,0.0,0.0,6.0,0.7116132564095929,-0.4319500786470153,-0.07199167977450255,0.7116132564095929,-0.4319500786470153
EURUSD,2021-02-03,1.20432,1.20502,1.2002,1.20348,7,41,0.0581240866214895,-0.3421017669722435,-0.0697489039457911,0.3576850849804892,0.0,0.0,3.0,11.0,7.571220094306466,23.85244879038176,1.526457022025607,7.571220094306466,24.284304647888668
EURUSD,2021-02-04,1.20351,1.2043,1.1956,1.1962,8,79,0.0656413324359453,-0.6572442273018158,-0.6073900507681822,0.3664912347794236,6.0,0.0,1.0,8.0,4.088119733613495,2.2850363259662845,0.310069573378055,4.088119733613495,2.707971032671725
EURUSD,2021-02-05,1.19618,1.205,1.1951,1.2043,88,11,0.7373472219900057,-0.0902874149375486,0.6788276011971363,0.3919071746457662,3.0,3.0,0.0,5.0,1.5347453827494966,-6.898038210082557,-0.2949136562468395,1.3431652786946138,-6.0080696016973105
EURUSD,2021-02-08,1.20375,1.2066,1.2018,1.20458,28,20,0.236760124610575,-0.1619937694704148,0.0689511941848296,0.3766526571736111,6.0,0.0,0.0,2.0,0.2639604751902965,-0.15484387862004897,-0.07742193931002449,0.2639604751902965,-0.15484387862004897
EURUSD,2021-02-09,1.20478,1.2122,1.2043,1.2117,74,5,0.6158800776905312,-0.0398412988263447,0.5743787247464298,0.3860785752126731,3.0,0.0,0.0,4.0,0.4500925844003602,-0.06823709460723565,-0.017059273651808912,0.4500925844003602,-0.06823709460723565
EURUSD,2021-02-10,1.21168,1.21441,1.2107,1.21176,27,10,0.2253070117522695,-0.0808794401162007,0.0066024032747803,0.3762396835940744,3.0,2.0,2.0,4.0,3.8463231610034,-3.654463034424872,0.025836770552529066,3.8463231610034,-3.603984676598161
EURUSD,2021-02-11,1.21171,1.21495,1.2111,1.21295,32,6,0.26739071229914,-0.050342078550148,0.1023347170527525,0.3770596027373824,3.0,0.0,1.0,5.0,1.2554892972548912,-0.5466472331500977,-0.049174181443659405,1.2554892972548912,-0.25928524847855106
EURUSD,2021-02-12,1.21279,1.2135,1.208,1.21177,7,48,0.0585426990657894,-0.3949570824297753,-0.0841035958409964,0.346147598225286,3.0,0.0,0.0,2.0,0.6105566774766842,0.18666328546753597,0.09333164273376798,0.6105566774766842,0.18666328546753597
EURUSD,2021-02-15,1.21239,1.21452,1.2115,1.21268,21,9,0.1756860416202678,-0.0734087216159863,0.0239196958074465,0.3455551880834245,2.0,0.0,0.0,2.0,0.5757742975191795,-0.5947954700237114,-0.2973977350118557,0.5618682092942703,-0.7258079014597789
EURUSD,2021-02-16,1.21274,1.21695,1.2093,1.21061,42,34,0.3471477810577739,-0.2836551940234418,-0.1756353381598665,0.3336746833165557,0.0,0.0,0.0,6.0,0.9894188233999144,0.7315324291729864,0.12192207152883107,0.9894188233999144,0.7315324291729864
EURUSD,2021-02-17,1.21058,1.2109,1.2021,1.20372,3,85,0.0264336103355497,-0.700490673891857,-0.5666705215681812,0.3544338283730355,5.0,2.0,0.0,8.0,5.048240119273126,17.71743482850613,1.171426541886076,5.048240119273126,17.77848435977451
EURUSD,2021-02-18,1.2036,1.20946,1.2034,1.20891,59,2,0.486872715187768,-0.0166168162180108,0.4411764705882291,0.3542092018577208,4.0,0.0,2.0,7.0,2.217375433586376,2.2785205931830594,0.2640496697415554,2.217375433586376,2.185223367939012
EURUSD,2021-02-19,1.20888,1.21445,1.208,1.21167,56,9,0.4607570643901855,-0.0727946529018589,0.2307921381774924,0.3579722791990996,5.0,3.0,4.0,5.0,2.005695994399109,6.815991812596222,0.32913280005043005,2.2890445446005145,7.188774073875546
EURUSD,2021-02-22,1.21148,1.21695,1.2089,1.21551,55,26,0.4515138508270946,-0.2129626572456668,0.3326509723643973,0.3621939208104327,3.0,0.0,1.0,2.0,1.2085295233759987,2.8912161850218094,0.560895553881937,1.2085295233759987,2.844638637353978
EURUSD,2021-02-23,1.21526,1.21801,1.2133,1.21486,28,20,0.2262890245708762,-0.1612823593305105,-0.0329147672103052,0.3599698125321062,4.0,0.0,1.0,5.0,0.4427995646625464,0.8586302755066353,0.06930511847401481,0.4427995646625464,0.8586302755066353
EURUSD,2021-02-24,1.21496,1.21747,1.2107,1.21664,25,43,0.2065911634950955,-0.3506288272864893,0.1382761572397366,0.346274043033319,3.0,0.0,1.0,3.0,2.7120376298001783,3.994183417328162,0.9336003219282103,2.7120376298001783,3.994183417328162
EURUSD,2021-02-25,1.21641,1.22432,1.2154,1.2174,79,10,0.650274167427108,-0.0830312148042153,0.0813870323328521,0.3460342079323964,0.0,0.0,1.0,9.0,1.851224122806403,-2.6442664576199992,-0.263251446291699,1.851224122806403,-2.5790744030905777
EURUSD,2021-02-26,1.21718,1.21841,1.206,1.20704,12,112,0.1010532542434204,-0.918516571090551,-0.8330731691286448,0.3946249453345544,2.0,0.0,1.0,12.0,6.289214069043108,5.739637289234178,0.49159444302425165,6.289214069043108,5.701936090186999
EURUSD,2021-03-01,1.20718,1.21012,1.2026,1.20492,29,46,0.2435428022333177,-0.3793966102818162,-0.1872131745058673,0.3751271093383612,5.0,1.0,1.0,9.0,2.125592125026009,8.396104713471237,0.5409621552806437,2.125592125026009,8.875697607782355
EURUSD,2021-03-02,1.20484,1.20945,1.199,1.209,46,58,0.3826234188771956,-0.4847116629593843,0.3452740612861595,0.3812791057187545,2.0,0.0,0.0,7.0,0.9506339415133964,0.08225334814516416,0.011750478306452023,0.9506339415133964,0.08225334814516416
EURUSD,2021-03-03,1.20893,1.21133,1.2041,1.20634,24,48,0.1985226605345187,-0.3995268543257353,-0.2142390378268462,0.3844921818195364,0.0,0.0,3.0,8.0,2.624265312429932,11.799225692158833,0.9698869119991027,2.624265312429932,12.663190833731614
EURUSD,2021-03-04,1.20624,1.20666,1.196,1.19688,4,102,0.0348189415041854,-0.8489189547685392,-0.7759649820931187,0.4003997464889346,0.0,0.0,0.0,10.0,1.231197218555329,-0.34106577215427036,-0.034106577215427036,1.2962446225852824,0.06974060196060317
EURUSD,2021-03-05,1.19679,1.19777,1.1892,1.19079,10,76,0.0818857109434387,-0.6341964755721543,-0.501341087408819,0.382872738037351,0.0,3.0,0.0,4.0,0.7814796657973222,0.39401006931281835,-0.05267937646107844,0.7814796657973222,0.6903628812896662
EURUSD,2021-03-08,1.1917,1.19324,1.1842,1.1846,15,75,0.1292271544851973,-0.6293530250902125,-0.5957875304187198,0.4003413450870747,5.0,0.0,0.0,3.0,4.712415684384892,4.7714734087879735,1.590491136262658,4.712415684384892,4.7714734087879735
EURUSD,2021-03-09,1.18462,1.19158,1.1834,1.18995,70,12,0.5875301784538567,-0.1029866117404736,0.44993331194814,0.3904054734347394,4.0,0.0,0.0,6.0,1.114410046233218,1.4459972941039143,0.24099954901731904,1.114410046233218,1.4459972941039143
EURUSD,2021-03-10,1.18992,1.193,1.1867,1.19287,31,32,0.2588409304827191,-0.2706064273228453,0.2479158262740359,0.3972410073145104,5.0,3.0,2.0,1.0,1.4527500680903858,6.003604273154618,0.5542589985749581,2.886975087303707,10.891289395352192
